,Date,GoldPrice,GoldVolume,SilverPrice,SilverVolume
0,2015-03-12,15.493000030518001,94.0,15.493000030518001,94.0
1,2015-03-13,15.477000236511,59.0,15.477000236511,59.0
2,2015-03-15,15.585000038147,0.0,15.585000038147,0.0
3,2015-03-16,15.600999832153,71.0,15.600999832153,71.0
4,2015-03-17,15.562000274658,39.0,15.562000274658,39.0
5,2015-03-18,15.52499961853,19.0,15.52499961853,19.0
6,2015-03-19,16.097999572754,8.0,16.097999572754,8.0
7,2015-03-20,16.867000579834002,93.0,16.867000579834002,93.0
8,2015-03-22,16.798000335693,0.0,16.798000335693,0.0
9,2015-03-23,16.871999740601,149.0,16.871999740601,149.0
10,2015-03-24,16.962999343872003,295.0,16.962999343872003,295.0
11,2015-03-25,16.979999542235998,146.0,16.979999542235998,146.0
12,2015-03-26,17.121999740601,97.0,17.121999740601,97.0
13,2015-03-27,17.052000045776,11.0,17.052000045776,11.0
14,2015-03-29,16.909999847412,0.0,16.909999847412,0.0
15,2015-03-30,16.656999588013,8.0,16.656999588013,8.0
16,2015-03-31,16.58099937439,24.0,16.58099937439,24.0
17,2015-04-01,17.04400062561,50.0,17.04400062561,50.0
18,2015-04-02,16.686000823975,38399.0,16.686000823975,38399.0
19,2015-04-03,16.686000823975,0.0,16.686000823975,0.0
20,2015-04-05,17.07200050354,0.0,17.07200050354,0.0
21,2015-04-06,17.094999313354002,17.0,17.094999313354002,17.0
22,2015-04-07,16.825000762939,200.0,16.825000762939,200.0
23,2015-04-08,16.440000534058,1.0,16.440000534058,1.0
24,2015-04-09,16.163999557495,99.0,16.163999557495,99.0
25,2015-04-10,16.370000839233,5.0,16.370000839233,5.0
26,2015-04-12,16.459999084473,0.0,16.459999084473,0.0
27,2015-04-13,16.280000686645998,35535.0,16.280000686645998,35535.0
28,2015-04-14,16.150999069214002,23.0,16.150999069214002,23.0
29,2015-04-15,16.268999099731,12732.0,16.268999099731,12732.0
30,2015-04-16,16.275999069214002,12.0,16.275999069214002,12.0
31,2015-04-17,16.221000671387,11634.0,16.221000671387,11634.0
32,2015-04-19,16.312999725342,0.0,16.312999725342,0.0
33,2015-04-20,15.883000373839998,14046.0,15.883000373839998,14046.0
34,2015-04-21,16.002000808715998,1.0,16.002000808715998,1.0
35,2015-04-22,15.791000366211,21232.0,15.791000366211,21232.0
36,2015-04-23,15.824000358582001,20776.0,15.824000358582001,20776.0
37,2015-04-24,15.630999565125,33272.0,15.630999565125,33272.0
38,2015-04-26,15.770000457764,0.0,15.770000457764,0.0
39,2015-04-27,16.389999389648,70.0,16.389999389648,70.0
40,2015-04-28,16.586999893188,50.0,16.586999893188,50.0
41,2015-04-29,16.670000076294,16432.0,16.670000076294,16432.0
42,2015-04-30,16.124000549316,2479.0,16.124000549316,2479.0
43,2015-05-01,16.111000061035,733.0,16.111000061035,733.0
44,2015-05-03,16.174999237061,0.0,16.174999237061,0.0
45,2015-05-04,16.417999267578,71.0,16.417999267578,71.0
46,2015-05-05,16.556999206543,47.0,16.556999206543,47.0
47,2015-05-06,16.483999252319,98.0,16.483999252319,98.0
48,2015-05-07,16.271999359131,101.0,16.271999359131,101.0
49,2015-05-08,16.441999435425,67.0,16.441999435425,67.0
50,2015-05-10,16.468000411987,0.0,16.468000411987,0.0
51,2015-05-11,16.298000335693,242.0,16.298000335693,242.0
