,Date,OilPrice,OilVolume,GasPrice,GasVolume
597,2017-07-25,50.200000762939,284288.0,2.944000005722,50576.0
598,2017-07-26,50.970001220703004,258949.0,2.9240000247955003,45379.0
599,2017-07-27,51.490001678466996,184427.0,2.9690001010895,11030.0
600,2017-07-28,52.520000457764,159148.0,2.9409999847412003,83193.0
601,2017-07-31,52.650001525879,25540.0,2.7939999103546,176226.0
602,2017-08-01,51.779998779296996,392641.0,2.819000005722,151158.0
603,2017-08-02,52.360000610352,406415.0,2.8110001087189,111069.0
604,2017-08-03,52.009998321533004,402658.0,2.7999999523162997,125787.0
605,2017-08-04,52.419998168945,278784.0,2.7739999294281,100740.0
606,2017-08-07,52.36999893188501,260937.0,2.8010001182556,144959.0
607,2017-08-08,52.139999389648,235160.0,2.8220000267029,134191.0
608,2017-08-09,52.700000762939,265606.0,2.8829998970032,184358.0
609,2017-08-10,51.900001525879,450278.0,2.9849998950957994,262157.0
610,2017-08-11,52.099998474121,245314.0,2.9830000400543,137469.0
611,2017-08-14,50.729999542236,281573.0,2.9590001106262003,130569.0
612,2017-08-15,50.799999237061,334161.0,2.9349999427794997,103177.0
613,2017-08-16,50.270000457764,305551.0,2.8900001049042006,135731.0
614,2017-08-17,51.029998779296996,334304.0,2.9289999008178995,158462.0
615,2017-08-18,52.720001220703004,317440.0,2.8929998874663996,83316.0
616,2017-08-21,51.659999847412,271574.0,2.9619998931884997,171194.0
617,2017-08-22,51.86999893188501,313918.0,2.9389998912811,151718.0
618,2017-08-23,52.569999694824,287199.0,2.9279999732971,104361.0
619,2017-08-24,52.040000915527,255763.0,2.9489998817444,105193.0
620,2017-08-25,52.409999847412,218089.0,2.8919999599457,53985.0
621,2017-08-28,51.889999389648,141582.0,2.9249999523162997,48077.0
622,2017-08-29,52.0,139974.0,2.9609999656677,7945.0
623,2017-08-30,50.860000610352,152585.0,2.9389998912811,96502.0
624,2017-08-31,52.38000106811499,33499.0,3.039999961853,241062.0
625,2017-09-01,52.75,262197.0,3.0699999332427996,179193.0
626,2017-09-05,53.38000106811499,300776.0,2.9719998836517,172702.0
627,2017-09-06,54.200000762939,322595.0,3.0,145052.0
628,2017-09-07,54.490001678466996,306718.0,2.9809999465942,137126.0
629,2017-09-08,53.779998779296996,307449.0,2.8900001049042006,204842.0
630,2017-09-11,53.840000152588,276434.0,2.9500000476837003,164090.0
631,2017-09-12,54.270000457764,279336.0,3.0009999275207995,248747.0
632,2017-09-13,55.159999847412,291472.0,3.0580000877380002,191192.0
633,2017-09-14,55.470001220703004,327352.0,3.0699999332427996,204316.0
634,2017-09-15,55.61999893188501,271070.0,3.0239999294281,144121.0
635,2017-09-18,55.479999542236,278120.0,3.1459999084473,209884.0
636,2017-09-19,55.139999389648,221760.0,3.1219999790192,156610.0
637,2017-09-20,56.290000915527,295650.0,3.0940001010895,172959.0
638,2017-09-21,56.430000305176,251616.0,2.9460000991821005,271675.0
639,2017-09-22,56.860000610352,208360.0,2.9590001106262003,109531.0
640,2017-09-25,59.020000457764,224939.0,2.9189999103546,73229.0
641,2017-09-26,58.439998626709006,214727.0,2.9179999828339,54994.0
642,2017-09-27,57.900001525879,142870.0,2.9739999771117995,15712.0
643,2017-09-28,57.409999847412,117888.0,3.0169999599457,192444.0
644,2017-09-29,57.540000915527,24020.0,3.0069999694823997,117984.0
645,2017-10-02,56.11999893188501,352045.0,2.9159998893737997,251481.0
646,2017-10-03,56.0,275423.0,2.8949999809265,151617.0
647,2017-10-04,55.799999237061,330854.0,2.9400000572205003,160561.0
648,2017-10-05,57.0,379302.0,2.9230000972748,180003.0
649,2017-10-06,55.61999893188501,395647.0,2.8629999160767,226636.0
650,2017-10-09,55.790000915527,301152.0,2.8329999446869,174730.0
651,2017-10-10,56.610000610352,290341.0,2.8910000324249,201266.0
652,2017-10-11,56.939998626709006,310139.0,2.8889999389648,224270.0
653,2017-10-12,56.25,339530.0,2.989000082016,308993.0
654,2017-10-13,57.169998168945,332597.0,3.0,179590.0
655,2017-10-16,57.819999694824,341777.0,2.9460000991821005,179558.0
656,2017-10-17,57.88000106811499,405217.0,2.9619998931884997,202672.0
657,2017-10-18,58.150001525879,329325.0,2.8540000915527,205285.0
658,2017-10-19,57.229999542236,430668.0,2.8729999065398997,295772.0
659,2017-10-20,57.75,369888.0,2.914999961853,225039.0
660,2017-10-23,57.36999893188501,353071.0,2.9909999370575,178926.0
661,2017-10-24,58.330001831055,334681.0,2.9739999771117995,112764.0
662,2017-10-25,58.439998626709006,260548.0,2.9189999103546,65776.0
663,2017-10-26,59.299999237061,232283.0,2.8900001049042006,50113.0
664,2017-10-27,60.439998626709006,209886.0,2.7520000934601003,0.0
665,2017-10-30,60.900001525879,168541.0,2.9660000801086004,124090.0
666,2017-10-31,61.36999893188501,29115.0,2.8959999084473,194986.0
667,2017-11-01,60.490001678466996,337761.0,2.8929998874663996,189880.0
668,2017-11-02,60.61999893188501,289300.0,2.9349999427794997,184935.0
669,2017-11-03,62.069999694824,272739.0,2.9839999675751,143210.0
670,2017-11-06,64.269996643066,356994.0,3.1340000629425,267645.0
671,2017-11-07,63.689998626709006,389455.0,3.1519999504088996,247518.0
