,stockprice,goldprice,silverprice,oilprice,gasprice,newspolarity,polarity_cat
2019-04-01,6.58,15.098999977112,15.098999977112,69.01000213623,2.7079999446869,0.7186740420073754,positive
2019-04-02,6.56,15.0609998703,15.0609998703,69.370002746582,2.6840000152588,0.7186740420073754,positive
2019-04-03,6.57,15.102000236511,15.102000236511,69.30999755859399,2.6770000457764,0.394532279314888,positive
2019-04-04,6.58,15.083999633789,15.083999633789,69.400001525879,2.6429998874664,-0.05546824165245215,negative
2019-04-05,6.58,15.086000442505,15.086000442505,70.339996337891,2.6640000343323,0.5421616549537375,positive
2019-04-07,6.7,15.088000297546001,15.088000297546001,70.339996337891,2.6640000343323,0.5421616549537375,positive
2019-04-08,6.62,15.215999603271001,15.215999603271001,71.099998474121,2.7079999446869,0.9039603809706902,positive
2019-04-09,6.62,15.211000442505,15.211000442505,70.610000610352,2.6989998817444,-0.0012987012987013043,negative
2019-04-10,6.61,15.244000434875,15.244000434875,71.730003356934,2.7000000476837003,0.34215903857282187,positive
2019-04-11,6.6,14.866999626160002,14.866999626160002,70.830001831055,2.6640000343323,0.7378817632984299,positive
2019-04-12,6.6,14.963000297546001,14.963000297546001,71.550003051758,2.6600000858307,-0.024621077451959628,negative
2019-04-14,6.55,14.918000221252,14.918000221252,71.550003051758,2.6600000858307,-0.024621077451959628,negative
2019-04-15,6.58,14.97500038147,14.97500038147,71.180000305176,2.5899999141693,0.15517948447321514,positive
2019-04-16,6.55,14.914999961853,14.914999961853,71.720001220703,2.5720000267029,0.3999125964615095,positive
2019-04-17,6.53,14.9390001297,14.9390001297,71.620002746582,2.5169999599457,-0.06805555555555556,negative
2019-04-18,6.58,14.954999923706,14.954999923706,71.970001220703,2.4900000095367,-0.075,negative
2019-04-19,6.58,14.965000152588,14.965000152588,71.970001220703,2.4900000095367,1.043263532502444,positive
2019-04-21,6.65,14.982000350952001,14.982000350952001,71.970001220703,2.4900000095367,1.043263532502444,positive
2019-04-22,6.66,14.97500038147,14.97500038147,74.040000915527,2.5239999294281,0.7389400810829381,positive
2019-04-23,6.71,14.791000366211,14.791000366211,74.51000213623,2.454999923706,0.46587160116571885,positive
2019-04-24,6.63,14.916000366211,14.916000366211,74.569999694824,2.4619998931885,0.16037015474329477,positive
2019-04-25,6.71,14.878999710083,14.878999710083,74.349998474121,2.5139999389648,0.5767762371487862,positive
2019-04-26,6.71,15.005000114441,15.005000114441,72.150001525879,2.5659999847412003,0.2776009311569656,positive
2019-04-28,6.75,15.012000083922999,15.012000083922999,72.150001525879,2.5659999847412003,0.2776009311569656,positive
2019-04-29,6.81,14.843999862671001,14.843999862671001,72.040000915527,2.5929999351502,0.23570987093714363,positive
2019-04-30,6.81,14.89999961853,14.89999961853,72.800003051758,2.5750000476837003,0.0410204991087344,positive
2019-05-01,6.81,14.645000457764,14.645000457764,72.180000305176,2.6199998855591,0.0410204991087344,positive
2019-05-02,6.81,14.607000350952001,14.604999542236,70.300003051758,2.5710000991821,0.0410204991087344,positive
